source_id,source_url,title,publisher,source_type,published_date,accessed_date,evidence_quality,notes
wesabe-hedlund-2010,https://medium.com/10-thousand-ways-to-fail/why-wesabe-lost-to-mint-c5a439c3f513,Why Wesabe Lost to Mint,Marc Hedlund,founder_postmortem,2010-10-04,2026-09-11,A,Postmortem by Wesabe co-founder and final CEO.
rethinkdb-akhmechet-2017,https://gist.github.com/jthodge/f0c96f86cfaa885983a98690f2536722,RethinkDB: why we failed,Slava Akhmechet,founder_postmortem,2017-01-16,2026-09-11,A,Postmortem attributed to RethinkDB co-founder Slava Akhmechet.
tract-postmortem-2025,https://buildwithtract.com/,Tract Postmortem,Tract,company_statement,2025-04-01,2026-09-11,A,Postmortem signed by co-founders Jamie Rumbelow and Henry Dashwood.
advisable-postmortem-2022,https://schlupfloch.ghost.io/explaining-advisables-failure,I’m shutting my startup down after 4.5 years - here’s where I went wrong & why,Advisable founder,founder_postmortem,2022-09-01,2026-09-11,A,Founder-authored account; author cautions against single-cause explanations.
spreadable-postmortem,https://grasshopper.com/blog/spreadable,The Spreadable Story,Grasshopper Group,company_statement,,2026-09-11,A,Company postmortem.
juked-goldhaber-2022,https://medium.com/@FishStix/the-juked-story-is-coming-to-a-close-a71f20ce3b8c,The Juked Story Is Coming To A Close,Ben Goldhaber,founder_postmortem,2022-11-01,2026-09-11,A,CEO and co-founder account.
siempo-dunn-2021,https://aandrewdunn.medium.com/postmortem-for-siempo-a-humane-tech-startup-%EF%B8%8F-62ef61832df0,Postmortem for Siempo: A Humane Tech Startup,Andrew Dunn,founder_postmortem,2021-01-01,2026-09-11,A,Postmortem by Siempo CEO.
sentar-lasse,https://medium.com/@lasse.k/mistake-3out-of-3-not-following-a-process-every-goddamn-day-3ad06d993485,Mistake 3 out of 3: Not following a process — every goddamn day,Sentar founders,founder_postmortem,,2026-09-11,A,Founder team’s postmortem.
helmet-khan-2025,https://medium.com/@dankhan/when-its-over-before-it-begins-2c21f7eadeea,When It’s Over Before It Begins,Dan Khan,founder_postmortem,2025-01-01,2026-09-11,A,Co-founder’s shutdown reflection.
skillstackers-choco,https://medium.com/@DOitChoco/why-we-decided-to-shutdown-skillstackers-college-startup-reflections-e7c50cf0c6f1,Why We Decided To Shutdown SkillStackers & College Startup Reflections,SkillStackers founder,founder_postmortem,2018-07-01,2026-09-11,A,Founder-authored shutdown reflection.
bre-x-cim-2019,https://www.cim.org/news/2019/how-cim-helped-an-industry-rocked-by-scandal-get-back-on-the-level,How CIM helped an industry rocked by scandal get back on the level,Canadian Institute of Mining Metallurgy and Petroleum,journalism,2019-03-01,2026-09-11,B,Contemporaneous-history report by the Canadian mining professional association; no attribution to an individual perpetrator.
davidstea-company-2020,https://ir.davidstea.com/news-releases/news-release-details/davidstea-takes-steps-optimize-store-network,DAVIDsTEA Takes Steps to Optimize Store Network,DAVIDsTEA,company_statement,2020-07-09,2026-09-11,A,Company release following Quebec Superior Court CCAA initial order; English title retained as published.
quadriga-osc-2020,https://osc.ca/quadrigacxreport,QuadrigaCX: A Review by Staff of the Ontario Securities Commission,Ontario Securities Commission,regulatory_filing,2020-04-14,2026-09-11,A,OSC Staff review; report explicitly says its views are not findings of fact by an OSC tribunal or court.
target-canada-star-2015,https://thestar.com/business/2015/01/16/target-canada-was-running-out-of-cash.html,Target Canada was running out of cash,Toronto Star,journalism,2015-01-16,2026-09-11,B,Contemporaneous reporting on the Target Canada court filings and Mark Wong affidavit.
zenn-cbc-2009,https://www.cbc.ca/news/canada/montreal/zenn-to-cease-electric-car-production-1.805349,Zenn to cease electric car production,CBC News,journalism,2009-09-30,2026-09-11,B,Contemporaneous report quoting CEO Ian Clifford; French-language source coverage remains a corpus gap.
taiga-deloitte-2024,https://www.insolvencies.deloitte.ca/en-ca/Pages/Taiga-Motors.aspx,Taiga Motors Corporation,Deloitte Restructuring Inc.,court_filing,2024-07-10,2026-09-13,A,Deloitte monitor case page records the Quebec CCAA initial order and later reverse-vesting-order transaction.
