assertion_id,company_id,cause_code,source_id,assertion_type,confidence,evidence_quote,analyst_note
wesabe-technology,wesabe,technology,wesabe-hedlund-2010,explicit_founder_statement,high,"we chose not to work with Yodlee, but failed to find or make a replacement for them (until too late).",Founder identifies delayed automated aggregation as a primary reason.
wesabe-competition,wesabe,competition,wesabe-hedlund-2010,explicit_founder_statement,medium,"Mint (and some others) did well by seeing where we screwed up, and waiting to launch until they had a better approach.",Founder describes competitive displacement; confidence is medium because the postmortem emphasizes internal decisions.
rethinkdb-market,rethinkdb,market_problem,rethinkdb-akhmechet-2017,explicit_founder_statement,high,we picked a terrible market,Founder’s first stated hindsight conclusion.
rethinkdb-pmf,rethinkdb,pmf,rethinkdb-akhmechet-2017,explicit_founder_statement,high,most were willing to pay less for the lifetime of usage than the price of a single Starbucks coffee,Founder describes lack of willingness to pay in the chosen market.
rethinkdb-distribution,rethinkdb,distribution,rethinkdb-akhmechet-2017,explicit_founder_statement,high,early distribution challenges almost always doom you to eventual death.,Founder links the customer-acquisition funnel to the outcome.
tract-market,tract,market_problem,tract-postmortem-2025,explicit_founder_statement,high,"failing to secure a viable, venture-scale business model in the British property market",Founders’ summary.
tract-pricing,tract,pricing,tract-postmortem-2025,explicit_founder_statement,high,encountered a low willingness to pay for useful tools,Founders’ summary.
tract-focus,tract,focus,tract-postmortem-2025,explicit_founder_statement,high,Focussed too much on technology over business development.,Founders’ retrospective list.
tract-funding,tract,funding,tract-postmortem-2025,explicit_founder_statement,medium,Raised venture capital for a model that probably should have been funded differently.,Founders’ retrospective list; coded as a financing-model issue.
advisable-pmf,advisable,pmf,advisable-postmortem-2022,explicit_founder_statement,high,we haven't been able to get this new version working well enough to be investible or profitable.,Founder’s shutdown summary.
advisable-market,advisable,market_problem,advisable-postmortem-2022,explicit_founder_statement,medium,we're not the people we're building for nor do we deeply understand them.,Founder offers this as a possible underlying reason and expressly notes uncertainty.
advisable-operations,advisable,operations,advisable-postmortem-2022,explicit_founder_statement,medium,"it may also just be that we're in a bad market, we executed poorly",Founder names poor execution as an alternative explanation.
spreadable-distribution,spreadable,distribution,spreadable-postmortem,explicit_founder_statement,high,The product was most effectively sold in a manner that doesn’t align with the core strengths of our company,Company’s first stated reason.
spreadable-market,spreadable,market_problem,spreadable-postmortem,explicit_founder_statement,high,The size of the market for the product we had built was significantly smaller,Company’s second stated reason.
spreadable-focus,spreadable,focus,spreadable-postmortem,explicit_founder_statement,high,Investing financial and team resources in continuing to build Spreadable would not have yielded a return,Company’s third stated reason; coded as capital-allocation/focus.
juked-funding,juked,funding,juked-goldhaber-2022,explicit_founder_statement,high,we no longer see a viable path forward for Juked,CEO’s shutdown summary.
juked-timing,juked,timing,juked-goldhaber-2022,explicit_founder_statement,medium,the esports industry as a whole had begun losing luster in the eyes of investors and media.,CEO describes a weaker external funding context.
siempo-timing,siempo,timing,siempo-dunn-2021,explicit_founder_statement,high,"we made a new-to-the-world tool, before its time",CEO’s summary.
siempo-technology,siempo,technology,siempo-dunn-2021,explicit_founder_statement,high,Running into the hurdles of building hardware from scratch,CEO describes the original hardware path.
siempo-funding,siempo,funding,siempo-dunn-2021,explicit_founder_statement,medium,"ultimately never launched the campaign, due to a combination of burnout and continued lack of resonance with larger investors.",CEO describes unsuccessful fundraising and burnout.
