industry_code,label_en,label_fr,description
apparel-retail,Apparel retail,Commerce de vêtements,Retail sale of apparel and fashion goods.
business-services,Business services,Services aux entreprises,Services provided to business customers.
consumer-technology,Consumer technology,Technologies grand public,Technology products for individual consumers.
database-software,Database software,Logiciels de bases de données,Database products and services.
e-commerce,Electronic commerce,Commerce électronique,Online retail and commercial transactions.
electric-vehicles,Electric vehicles,Véhicules électriques,Manufacture or sale of electric vehicles.
entertainment,Entertainment,Divertissement,Live entertainment and media.
esports-media,Esports media,Médias de sports électroniques,Media and community products for esports.
financial-technology,Financial technology,Technologies financières,Technology-enabled financial products and services.
freelance-marketplace,Freelance marketplace,Marché de travail autonome,Marketplace connecting freelancers and buyers.
marketing-software,Marketing software,Logiciels de marketing,Software supporting marketing activities.
mental-health,Mental health,Santé mentale,Products or services focused on mental health.
mineral-exploration,Mineral exploration,Exploration minière,Exploration and development of mineral resources.
property-technology,Property technology,Technologies immobilières,Technology products for property and planning.
retail,Retail,Commerce de détail,Retail sale of goods.
social-impact-technology,Social impact technology,Technologies à impact social,Technology intended to address a social objective.
specialty-retail,Specialty retail,Commerce de détail spécialisé,Retail focused on a specialized category.
