lesson_id,company_id,lesson,applicability,action_for_founder,confidence
wesabe-lesson,wesabe,Make product choices that remove high-friction customer work before competitors do.,Consumer-finance products requiring account data.,Test a complete automated workflow before defending a privacy or architecture constraint.,high
rethinkdb-lesson,rethinkdb,Demand is insufficient when users will not pay enough to fund distribution and product work.,Open-source developer tools.,Test willingness to pay and acquisition economics alongside usage growth.,high
tract-lesson,tract,Validate willingness to pay and commercial path before scaling a technical team.,B2B software in conservative sectors.,Secure committed paid customers before expanding headcount or product scope.,high
advisable-lesson,advisable,"Treat founder-market understanding and profitability as hypotheses, not assumed strengths.",Marketplaces and new product versions.,Interview and sell to the target users before repeated relaunches.,medium
spreadable-lesson,spreadable,A product can grow and still be a poor strategic fit when the market and sales motion are too small.,Multi-product companies.,Compare addressable market and required sales motion with the firm’s capabilities before continuing investment.,high
juked-lesson,juked,A viable product path can disappear when sector funding conditions change.,Venture-backed media and community products.,Set fundraising contingencies and assess sector financing before relying on the next round.,medium
siempo-lesson,siempo,"New categories may face timing, hardware, and capital constraints simultaneously.",Mission-led consumer technology.,De-risk manufacturing and financing before committing to a new-device strategy.,medium
sentar-lesson,sentar,Founders need an agreed decision process before conflicts make intuition decisive.,Early-stage founding teams.,Document decision rules and revisit them regularly.,high
helmet-lesson,helmet,"Founder financial and family constraints are operating constraints, not background details.",Bootstrapped teams.,Assess founder availability and personal runway before committing to a venture schedule.,high
skillstackers-lesson,skillstackers,Revenue traction does not resolve structural business-model or defensibility questions.,Service-enabled automation products.,Test repeatable margins and a defensibility path before scaling.,medium
bre-x-lesson,bre-x,Independent technical verification is necessary when a company-controlled sample establishes the asset value.,Junior mining and asset-backed businesses.,Require independent sampling and qualified review before relying on extraordinary claims.,high
davidstea-lesson,davidstea,Store-level profitability and lease obligations must be tested against an abrupt retail disruption.,Omnichannel retail.,Model store contribution and lease exposure under severe traffic-loss scenarios.,high
quadriga-lesson,quadriga,Customer-asset businesses require independent controls and auditable accounting before scale.,Crypto-asset platforms and custodians.,Segregate duties custody and accounting; independently reconcile customer liabilities and assets.,high
target-canada-lesson,target-canada,An expansion cannot compensate for broken availability and customer-value fundamentals.,Cross-border retail expansion.,Pilot supply availability pricing and local customer expectations before a rapid rollout.,high
zenn-lesson,zenn,Limited sales can justify a pivot but do not establish the underlying causal mechanism on their own.,Niche vehicle manufacturing.,Measure repeatable demand and unit economics before scaling production; investigate causes of weak sales separately.,high
taiga-motors-lesson,taiga-motors,Production-scale capital needs should be tested against available runway before committing to manufacturing expansion.,Electric-vehicle manufacturers.,Model working-capital needs and financing contingencies before scaling production.,medium
lion-electric-lesson,lion-electric,A court-supervised reorganization establishes a material distress outcome but not its underlying cause without attributed evidence.,Capital-intensive manufacturers.,Use the filing as an escalation signal; do not infer a root cause until sourced evidence supports one.,high
frank-and-oak-lesson,frank-and-oak,A BIA Notice of Intention establishes an insolvency process but does not by itself establish why the business became insolvent.,Omnichannel retailers.,Separate legal outcome evidence from any later evidence-supported causal analysis.,high
just-for-laughs-lesson,just-for-laughs,CCAA conversion and workforce reduction document distress and response actions but do not alone establish a causal mechanism.,Live-events and media businesses.,Treat court-process records as outcome evidence; require attributable evidence before coding causes.,high
le-chateau-lesson,le-chateau,A CCAA initial order establishes restructuring status but does not alone prove a business cause.,Specialty retailers.,Keep outcome evidence separate from causal claims unless the supporting source makes an attributable statement.,high
beyond-the-rack-lesson,beyond-the-rack,A CCAA initial order and asset process establish a formal distress outcome but not its underlying cause.,E-commerce businesses.,Use court records to verify the outcome and seek separate attributable evidence before coding causes.,high
plastube-lesson,plastube,A sudden bankruptcy and closure establish a material outcome but do not establish a root cause.,Manufacturing employers.,Keep outcome evidence separate from causal claims until attributable evidence is available.,high
cooperative-bellevue-lesson,cooperative-bellevue,A reported terminal financial constraint establishes distress but not its upstream mechanism.,Independent grocery retail.,Separate a reported inability to continue operating from evidence about why finances deteriorated.,medium
metro-media-lesson,metro-media,Liquidity loss can end operations even where a reported balance sheet appears healthy.,Local media businesses.,Monitor cash runway separately from balance-sheet measures and document the source of any funding constraint.,high
ebenisterie-st-urbain-lesson,ebenisterie-st-urbain,A CCAA initial order establishes restructuring status but does not alone prove a business cause.,Manufacturing and cabinetry businesses.,Treat court-process records as outcome evidence and seek attributable evidence before coding causes.,high
south-shore-furniture-lesson,south-shore-furniture,External price pressure and cross-border tariffs can combine with demand loss in manufacturing.,Export-oriented furniture manufacturers.,Stress-test demand and pricing against import competition and tariff scenarios before relying on a single export market.,medium
hotel-suites-lac-brome-lesson,hotel-suites-lac-brome,Unexpected operational disruptions and a pandemic can compound hospitality distress.,Small hospitality operators.,Maintain contingency liquidity for interruption and demand-shock scenarios.,medium
brant-instore-lesson,brant-instore,Customer concentration and continuing losses are warning signs that warrant earlier restructuring options.,Retail-display and print suppliers.,Track customer-retention exposure and losses before creditor action forces a sale.,medium
joriki-lesson,joriki,A BIA NOI and CCAA initial order establish restructuring status but not a causal mechanism.,Manufacturing businesses.,Keep formal proceeding evidence separate from causal analysis until attributable evidence is available.,high
